Ref,Value or PN,Package,PosX,PosY,Rot,Side
U31,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,38.354,90,top
U34,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,38.354,90,top
U37,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,49.022,90,top
U40,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,164.846,49.022,90,top
U43,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,49.022,90,top
U46,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,49.022,90,top
U49,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,59.69,90,top
U52,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,59.69,90,top
U55,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,164.846,59.69,90,top
U58,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,59.69,90,top
U61,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,70.358,90,top
U64,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,70.358,90,top
U67,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,70.358,90,top
U70,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,164.846,70.358,90,top
U73,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,81.026,90,top
U76,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,81.026,90,top
U79,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,81.026,90,top
U82,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,164.846,81.026,90,top
U85,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,91.694,90,top
U88,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,164.846,91.694,90,top
U91,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,142.494,91.694,90,top
U94,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,120.142,91.694,90,top
U97,AD5335BRU,TSSOP-24_4.4x7.8mm_P0.65mm,97.79,102.362,90,top
